python full_graph.py --dataset-root /home/ksadowski/datasets/ --dataset ogbn-products --lr 0.021542537754776225 --hidden-feats 256 --num-layers 4 --aggregator-type mean --batch-norm --input-dropout 0.1 --dropout 0.3 --activation relu --test-validation

Epoch: 001 Train Loss: 4.99 Valid Loss: 23.99 Train Score: 0.0114 Valid Score: 0.3551 Train Epoch Time: 49.93 Valid Epoch Time: 14.62
Epoch: 002 Train Loss: 2.07 Valid Loss: 22.40 Train Score: 0.5034 Valid Score: 0.1177 Train Epoch Time: 48.20 Valid Epoch Time: 14.60
Epoch: 003 Train Loss: 1.60 Valid Loss: 14.56 Train Score: 0.5613 Valid Score: 0.2824 Train Epoch Time: 48.07 Valid Epoch Time: 14.63
Epoch: 004 Train Loss: 1.35 Valid Loss: 11.91 Train Score: 0.6506 Valid Score: 0.3680 Train Epoch Time: 48.09 Valid Epoch Time: 14.67
Epoch: 005 Train Loss: 1.07 Valid Loss: 7.56 Train Score: 0.7244 Valid Score: 0.4706 Train Epoch Time: 48.05 Valid Epoch Time: 14.59
Epoch: 006 Train Loss: 0.92 Valid Loss: 4.91 Train Score: 0.7780 Valid Score: 0.5707 Train Epoch Time: 48.00 Valid Epoch Time: 14.64
Epoch: 007 Train Loss: 0.84 Valid Loss: 3.35 Train Score: 0.7942 Valid Score: 0.6491 Train Epoch Time: 48.04 Valid Epoch Time: 14.62
Epoch: 008 Train Loss: 0.78 Valid Loss: 2.61 Train Score: 0.8139 Valid Score: 0.7070 Train Epoch Time: 48.15 Valid Epoch Time: 14.63
Epoch: 009 Train Loss: 0.75 Valid Loss: 2.21 Train Score: 0.8238 Valid Score: 0.7353 Train Epoch Time: 48.06 Valid Epoch Time: 14.61
Epoch: 010 Train Loss: 0.71 Valid Loss: 1.84 Train Score: 0.8284 Valid Score: 0.7667 Train Epoch Time: 48.05 Valid Epoch Time: 14.64
Epoch: 011 Train Loss: 0.67 Valid Loss: 1.59 Train Score: 0.8404 Valid Score: 0.7858 Train Epoch Time: 48.06 Valid Epoch Time: 14.60
Epoch: 012 Train Loss: 0.63 Valid Loss: 1.45 Train Score: 0.8516 Valid Score: 0.7897 Train Epoch Time: 48.14 Valid Epoch Time: 14.65
Epoch: 013 Train Loss: 0.61 Valid Loss: 1.30 Train Score: 0.8550 Valid Score: 0.7974 Train Epoch Time: 48.04 Valid Epoch Time: 14.63
Epoch: 014 Train Loss: 0.60 Valid Loss: 1.13 Train Score: 0.8581 Valid Score: 0.8132 Train Epoch Time: 48.04 Valid Epoch Time: 14.61
Epoch: 015 Train Loss: 0.58 Valid Loss: 0.99 Train Score: 0.8609 Valid Score: 0.8285 Train Epoch Time: 48.03 Valid Epoch Time: 14.63
Epoch: 016 Train Loss: 0.56 Valid Loss: 0.88 Train Score: 0.8655 Valid Score: 0.8409 Train Epoch Time: 48.05 Valid Epoch Time: 14.60
Epoch: 017 Train Loss: 0.55 Valid Loss: 0.82 Train Score: 0.8667 Valid Score: 0.8459 Train Epoch Time: 48.12 Valid Epoch Time: 14.65
Epoch: 018 Train Loss: 0.54 Valid Loss: 0.77 Train Score: 0.8669 Valid Score: 0.8510 Train Epoch Time: 48.10 Valid Epoch Time: 14.60
Epoch: 019 Train Loss: 0.52 Valid Loss: 0.73 Train Score: 0.8700 Valid Score: 0.8551 Train Epoch Time: 48.02 Valid Epoch Time: 14.66
Epoch: 020 Train Loss: 0.51 Valid Loss: 0.69 Train Score: 0.8715 Valid Score: 0.8601 Train Epoch Time: 48.08 Valid Epoch Time: 14.57
Epoch: 021 Train Loss: 0.50 Valid Loss: 0.66 Train Score: 0.8740 Valid Score: 0.8646 Train Epoch Time: 48.05 Valid Epoch Time: 14.79
Epoch: 022 Train Loss: 0.50 Valid Loss: 0.63 Train Score: 0.8758 Valid Score: 0.8675 Train Epoch Time: 48.09 Valid Epoch Time: 14.63
Epoch: 023 Train Loss: 0.49 Valid Loss: 0.60 Train Score: 0.8770 Valid Score: 0.8703 Train Epoch Time: 48.08 Valid Epoch Time: 14.59
Epoch: 024 Train Loss: 0.48 Valid Loss: 0.58 Train Score: 0.8785 Valid Score: 0.8729 Train Epoch Time: 48.10 Valid Epoch Time: 14.59
Epoch: 025 Train Loss: 0.47 Valid Loss: 0.56 Train Score: 0.8791 Valid Score: 0.8746 Train Epoch Time: 48.05 Valid Epoch Time: 14.61
Epoch: 026 Train Loss: 0.47 Valid Loss: 0.54 Train Score: 0.8808 Valid Score: 0.8756 Train Epoch Time: 48.07 Valid Epoch Time: 14.61
Epoch: 027 Train Loss: 0.46 Valid Loss: 0.53 Train Score: 0.8818 Valid Score: 0.8769 Train Epoch Time: 48.10 Valid Epoch Time: 14.67
Epoch: 028 Train Loss: 0.45 Valid Loss: 0.51 Train Score: 0.8828 Valid Score: 0.8783 Train Epoch Time: 48.07 Valid Epoch Time: 14.63
Epoch: 029 Train Loss: 0.45 Valid Loss: 0.50 Train Score: 0.8844 Valid Score: 0.8799 Train Epoch Time: 47.99 Valid Epoch Time: 14.65
Epoch: 030 Train Loss: 0.44 Valid Loss: 0.49 Train Score: 0.8857 Valid Score: 0.8818 Train Epoch Time: 48.27 Valid Epoch Time: 14.67
Epoch: 031 Train Loss: 0.43 Valid Loss: 0.48 Train Score: 0.8859 Valid Score: 0.8829 Train Epoch Time: 48.11 Valid Epoch Time: 14.65
Epoch: 032 Train Loss: 0.43 Valid Loss: 0.47 Train Score: 0.8869 Valid Score: 0.8834 Train Epoch Time: 48.06 Valid Epoch Time: 14.66
Epoch: 033 Train Loss: 0.42 Valid Loss: 0.46 Train Score: 0.8878 Valid Score: 0.8838 Train Epoch Time: 48.07 Valid Epoch Time: 14.62
Epoch: 034 Train Loss: 0.42 Valid Loss: 0.45 Train Score: 0.8892 Valid Score: 0.8837 Train Epoch Time: 47.99 Valid Epoch Time: 14.65
Epoch: 035 Train Loss: 0.41 Valid Loss: 0.45 Train Score: 0.8900 Valid Score: 0.8841 Train Epoch Time: 48.03 Valid Epoch Time: 14.67
Epoch: 036 Train Loss: 0.41 Valid Loss: 0.44 Train Score: 0.8906 Valid Score: 0.8851 Train Epoch Time: 48.03 Valid Epoch Time: 14.65
Epoch: 037 Train Loss: 0.41 Valid Loss: 0.44 Train Score: 0.8919 Valid Score: 0.8862 Train Epoch Time: 48.21 Valid Epoch Time: 14.67
Epoch: 038 Train Loss: 0.40 Valid Loss: 0.44 Train Score: 0.8925 Valid Score: 0.8871 Train Epoch Time: 48.22 Valid Epoch Time: 14.63
Epoch: 039 Train Loss: 0.40 Valid Loss: 0.43 Train Score: 0.8932 Valid Score: 0.8888 Train Epoch Time: 48.04 Valid Epoch Time: 14.71
Epoch: 040 Train Loss: 0.40 Valid Loss: 0.43 Train Score: 0.8939 Valid Score: 0.8893 Train Epoch Time: 48.08 Valid Epoch Time: 14.63
Epoch: 041 Train Loss: 0.39 Valid Loss: 0.42 Train Score: 0.8947 Valid Score: 0.8900 Train Epoch Time: 48.08 Valid Epoch Time: 14.65
Epoch: 042 Train Loss: 0.39 Valid Loss: 0.42 Train Score: 0.8953 Valid Score: 0.8907 Train Epoch Time: 48.12 Valid Epoch Time: 14.65
Epoch: 043 Train Loss: 0.39 Valid Loss: 0.42 Train Score: 0.8964 Valid Score: 0.8909 Train Epoch Time: 48.10 Valid Epoch Time: 14.62
Epoch: 044 Train Loss: 0.38 Valid Loss: 0.41 Train Score: 0.8973 Valid Score: 0.8922 Train Epoch Time: 48.05 Valid Epoch Time: 14.63
Epoch: 045 Train Loss: 0.38 Valid Loss: 0.41 Train Score: 0.8979 Valid Score: 0.8926 Train Epoch Time: 48.02 Valid Epoch Time: 14.68
Epoch: 046 Train Loss: 0.38 Valid Loss: 0.41 Train Score: 0.8988 Valid Score: 0.8932 Train Epoch Time: 48.19 Valid Epoch Time: 14.65
Epoch: 047 Train Loss: 0.38 Valid Loss: 0.41 Train Score: 0.8991 Valid Score: 0.8939 Train Epoch Time: 48.12 Valid Epoch Time: 14.65
Epoch: 048 Train Loss: 0.37 Valid Loss: 0.41 Train Score: 0.9000 Valid Score: 0.8941 Train Epoch Time: 48.05 Valid Epoch Time: 14.65
Epoch: 049 Train Loss: 0.37 Valid Loss: 0.40 Train Score: 0.9001 Valid Score: 0.8948 Train Epoch Time: 48.02 Valid Epoch Time: 14.66
Epoch: 050 Train Loss: 0.36 Valid Loss: 0.40 Train Score: 0.9007 Valid Score: 0.8952 Train Epoch Time: 48.06 Valid Epoch Time: 14.70
Epoch: 051 Train Loss: 0.36 Valid Loss: 0.40 Train Score: 0.9010 Valid Score: 0.8955 Train Epoch Time: 48.01 Valid Epoch Time: 14.62
Epoch: 052 Train Loss: 0.36 Valid Loss: 0.39 Train Score: 0.9011 Valid Score: 0.8960 Train Epoch Time: 48.08 Valid Epoch Time: 14.62
Epoch: 053 Train Loss: 0.36 Valid Loss: 0.39 Train Score: 0.9028 Valid Score: 0.8966 Train Epoch Time: 48.03 Valid Epoch Time: 14.66
